timestamp,F_USS,L_USS,R_USS,L_ENCD,R_ENCD,L_ENCD_COV,R_ENCD_COV,HEAD
1754352323.087922,0,45,0,0,0,0.0,0.0,171
1754352323.1362703,0,46,0,0,0,0.0,0.0,172
1754352323.190505,0,46,0,0,0,0.0,0.0,171
1754352323.2398582,0,45,0,0,0,0.0,0.0,172
1754352323.2915428,0,45,0,0,0,0.0,0.0,172
1754352323.339892,0,46,0,4,6,0.42478176836650167,0.6428801028608164,162
1754352323.3900034,0,44,0,4,9,0.42478176836650167,0.9643201542912246,155
1754352323.43931,44,44,0,6,11,0.6371726525497525,1.1786135219114968,153
1754352323.4893224,44,45,0,7,13,0.743368094641378,1.3929068895317689,151
1754352323.5393343,39,45,0,9,16,0.9557589788246288,1.7143469409621772,147
1754352323.5893478,39,45,0,9,16,0.9557589788246288,1.7143469409621772,147
1754352323.6393523,38,45,0,13,22,1.3805407471911304,2.3572270438229936,141
1754352323.6893632,38,45,0,15,24,1.5929316313743813,2.5715204114432657,140
1754352323.7393646,38,45,0,15,24,1.5929316313743813,2.5715204114432657,140
1754352323.790125,39,45,0,19,30,2.017713399740883,3.2144005143040824,133
1754352323.840135,39,45,0,21,34,2.230104283924134,3.6429872495446265,130
1754352323.8901432,39,45,0,21,34,2.230104283924134,3.6429872495446265,130
1754352323.9401398,44,45,0,23,40,2.4424951681073845,4.285867352405443,122
1754352323.9901621,44,45,44,25,42,2.6548860522906357,4.500160720025715,121
1754352324.0401576,44,45,44,25,42,2.6548860522906357,4.500160720025715,121
1754352324.0925097,28,49,44,27,48,2.8672769364738864,5.143040822886531,119
1754352324.1425233,28,49,44,27,48,2.8672769364738864,5.143040822886531,119
1754352324.1925292,29,49,43,27,48,2.8672769364738864,5.143040822886531,119
1754352324.2548475,25,49,44,27,50,2.8672769364738864,5.357334190506804,120
1754352324.3048666,25,49,44,27,50,2.8672769364738864,5.357334190506804,119
1754352324.3548672,25,49,44,27,50,2.8672769364738864,5.357334190506804,119
1754352324.404873,25,49,43,27,50,2.8672769364738864,5.357334190506804,119
1754352324.454876,25,28,44,27,50,2.8672769364738864,5.357334190506804,118
1754352324.504891,25,28,44,27,50,2.8672769364738864,5.357334190506804,118
1754352324.554954,25,28,44,27,50,2.8672769364738864,5.357334190506804,119
1754352324.6049604,25,22,43,27,50,2.8672769364738864,5.357334190506804,119
1754352324.6549616,25,22,44,27,50,2.8672769364738864,5.357334190506804,119
1754352324.7049706,25,28,44,27,50,2.8672769364738864,5.357334190506804,119
1754352324.754984,25,28,44,27,50,2.8672769364738864,5.357334190506804,118
1754352324.8128662,25,27,43,27,50,2.8672769364738864,5.357334190506804,118
1754352324.8628266,25,27,43,27,50,2.8672769364738864,5.357334190506804,118
1754352324.9128358,25,27,44,27,50,2.8672769364738864,5.357334190506804,118
1754352324.962841,25,27,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.0129023,25,35,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.0628922,25,35,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.1129422,25,35,44,27,50,2.8672769364738864,5.357334190506804,119
1754352325.1629367,30,23,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.2129474,25,29,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.2629504,25,22,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.3129518,25,22,43,27,50,2.8672769364738864,5.357334190506804,118
1754352325.362961,25,22,43,27,50,2.8672769364738864,5.357334190506804,118
1754352325.4129896,24,22,43,27,50,2.8672769364738864,5.357334190506804,119
1754352325.4629858,30,22,43,27,50,2.8672769364738864,5.357334190506804,118
1754352325.512988,25,22,43,27,50,2.8672769364738864,5.357334190506804,118
1754352325.5630019,25,22,43,27,50,2.8672769364738864,5.357334190506804,118
1754352325.6130018,25,22,44,27,50,2.8672769364738864,5.357334190506804,119
1754352325.6630108,25,22,44,27,50,2.8672769364738864,5.357334190506804,119
1754352325.7130146,25,22,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.763027,25,29,43,27,50,2.8672769364738864,5.357334190506804,118
1754352325.8130312,25,30,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.8630352,25,29,44,27,50,2.8672769364738864,5.357334190506804,118
1754352325.9130456,25,29,44,27,50,2.8672769364738864,5.357334190506804,119
1754352325.963046,25,29,43,27,50,2.8672769364738864,5.357334190506804,119
1754352326.013052,25,30,43,27,50,2.8672769364738864,5.357334190506804,118
1754352326.0630624,25,22,44,27,50,2.8672769364738864,5.357334190506804,119
1754352326.1130643,25,22,44,27,50,2.8672769364738864,5.357334190506804,119
1754352326.1630733,25,22,44,27,50,2.8672769364738864,5.357334190506804,119
1754352326.2130802,25,22,43,27,50,2.8672769364738864,5.357334190506804,119
1754352326.263089,25,22,43,27,50,2.8672769364738864,5.357334190506804,119
1754352326.313095,25,22,43,27,50,2.8672769364738864,5.357334190506804,118
1754352326.3631048,25,23,44,27,50,2.8672769364738864,5.357334190506804,119
1754352326.41311,31,23,44,27,50,2.8672769364738864,5.357334190506804,120
1754352326.4631238,29,22,43,27,50,2.8672769364738864,5.357334190506804,119
1754352326.513132,30,29,43,27,50,2.8672769364738864,5.357334190506804,120
1754352326.5631342,29,30,44,27,50,2.8672769364738864,5.357334190506804,119
1754352326.6131558,25,29,44,27,50,2.8672769364738864,5.357334190506804,119
1754352326.6631603,24,29,43,27,50,2.8672769364738864,5.357334190506804,119
1754352326.7131708,25,29,43,27,50,2.8672769364738864,5.357334190506804,119
