timestamp,F_USS,L_USS,R_USS,L_ENCD,R_ENCD,L_ENCD_COV,R_ENCD_COV,HEAD
1752974480.0966446,19,24,9,37,101,3.9292313573901403,10.821815064823744,8
1752974480.1466596,19,24,9,37,101,3.9292313573901403,10.821815064823744,5
1752974480.1966658,19,24,9,37,101,3.9292313573901403,10.821815064823744,3
1752974480.2466807,19,23,9,37,101,3.9292313573901403,10.821815064823744,351
1752974480.2966928,19,23,9,37,101,3.9292313573901403,10.821815064823744,5
1752974480.3467014,19,23,9,37,101,3.9292313573901403,10.821815064823744,358
1752974480.3967087,19,23,9,37,101,3.9292313573901403,10.821815064823744,10
1752974480.4467154,19,23,9,37,101,3.9292313573901403,10.821815064823744,6
1752974480.4967234,19,23,9,37,101,3.9292313573901403,10.821815064823744,1
1752974480.5467377,19,23,9,37,101,3.9292313573901403,10.821815064823744,356
1752974480.59675,19,23,9,37,101,3.9292313573901403,10.821815064823744,351
1752974480.6467514,19,23,9,37,101,3.9292313573901403,10.821815064823744,353
1752974480.69675,19,24,9,37,101,3.9292313573901403,10.821815064823744,0
1752974480.7467518,19,23,9,37,101,3.9292313573901403,10.821815064823744,359
1752974480.7967553,19,23,9,37,101,3.9292313573901403,10.821815064823744,8
1752974480.8467684,19,23,9,37,101,3.9292313573901403,10.821815064823744,359
1752974480.8967757,19,23,9,37,101,3.9292313573901403,10.821815064823744,358
1752974480.9467847,19,23,9,37,101,3.9292313573901403,10.821815064823744,6
1752974480.9967842,19,23,9,37,101,3.9292313573901403,10.821815064823744,7
1752974481.046795,19,23,9,37,101,3.9292313573901403,10.821815064823744,7
1752974481.0967903,19,23,9,37,101,3.9292313573901403,10.821815064823744,1
1752974481.1467955,19,23,9,37,101,3.9292313573901403,10.821815064823744,5
1752974481.1968067,19,23,9,37,101,3.9292313573901403,10.821815064823744,0
1752974481.246812,19,23,9,37,101,3.9292313573901403,10.821815064823744,4
1752974481.2968197,19,23,9,37,101,3.9292313573901403,10.821815064823744,359
1752974481.3468199,19,23,9,37,101,3.9292313573901403,10.821815064823744,358
1752974481.396823,19,23,9,37,101,3.9292313573901403,10.821815064823744,357
1752974481.4468303,19,23,9,37,101,3.9292313573901403,10.821815064823744,355
1752974481.496836,19,23,9,37,101,3.9292313573901403,10.821815064823744,3
1752974481.5468388,19,23,9,37,101,3.9292313573901403,10.821815064823744,1
1752974481.5968394,19,23,9,37,101,3.9292313573901403,10.821815064823744,352
1752974481.6468463,19,23,9,37,101,3.9292313573901403,10.821815064823744,9
1752974481.696856,19,23,9,37,101,3.9292313573901403,10.821815064823744,356
1752974481.7468631,19,23,9,37,101,3.9292313573901403,10.821815064823744,7
